,Incident ID,Incident Date,State,City or County,Killed,Injured
0,2639130,2023-06-30,California,Florin,0.0,4.0
1,2639623,2023-06-30,Illinois,Chicago,1.0,3.0
2,2638784,2023-06-29,Texas,Odessa,1.0,4.0
3,2638465,2023-06-28,North Carolina,Greensboro,3.0,2.0
4,2636671,2023-06-26,Michigan,Ypsilanti,2.0,2.0
5,2634835,2023-06-25,Missouri,Kansas City,3.0,6.0
6,2635065,2023-06-25,Texas,Missouri City,1.0,3.0
7,2635437,2023-06-25,Ohio,Cincinnati,0.0,4.0
8,2634933,2023-06-25,Maryland,Temple Hills (Marlow Heights),0.0,4.0
9,2634840,2023-06-25,Indiana,Indianapolis,3.0,1.0
10,2635243,2023-06-24,North Carolina,Asheboro,0.0,4.0
11,2634357,2023-06-24,Texas,Beaumont,0.0,5.0
12,2634147,2023-06-24,Michigan,Saginaw,2.0,11.0
13,2634135,2023-06-24,Florida,Orlando,2.0,2.0
14,2632283,2023-06-21,Texas,Fort Worth,1.0,3.0
15,2630581,2023-06-20,Michigan,Pontiac,1.0,3.0
16,2629821,2023-06-19,Illinois,Chicago,1.0,3.0
17,2629745,2023-06-19,Wisconsin,Milwaukee,0.0,6.0
18,2628072,2023-06-18,Illinois,Willowbrook,1.0,22.0
19,2628083,2023-06-18,Missouri,Saint Louis,1.0,9.0
20,2629211,2023-06-18,Idaho,Kellogg,4.0,0.0
21,2629196,2023-06-18,North Carolina,Greenville,1.0,5.0
22,2628950,2023-06-18,Illinois,Chicago,2.0,3.0
23,2628104,2023-06-18,Illinois,Chicago,1.0,3.0
24,2628094,2023-06-18,Georgia,Decatur,0.0,5.0
25,2629262,2023-06-18,Michigan,Detroit,0.0,4.0
26,2627254,2023-06-17,Illinois,Chicago,0.0,5.0
27,2627729,2023-06-17,Pennsylvania,Philadelphia,0.0,5.0
28,2627193,2023-06-17,Wisconsin,La Crosse,0.0,7.0
29,2627442,2023-06-17,North Carolina,Winston Salem (Winston-salem),0.0,4.0
30,2627199,2023-06-17,Indiana,Indianapolis,0.0,4.0
31,2627418,2023-06-17,North Carolina,Charlotte,1.0,3.0
32,2629270,2023-06-17,Louisiana,Alexandria,1.0,3.0
33,2627958,2023-06-17,Washington,Quincy,2.0,2.0
34,2630156,2023-06-17,Ohio,Cleveland,0.0,4.0
35,2626827,2023-06-16,Maryland,Baltimore,0.0,6.0
36,2627283,2023-06-16,California,Carson,0.0,8.0
37,2627013,2023-06-16,New Jersey,Clifton,0.0,4.0
38,2625892,2023-06-15,Ohio,New Richmond,3.0,1.0
39,2626402,2023-06-15,Tennessee,Sequatchie,5.0,1.0
40,2625636,2023-06-15,South Carolina,Greenville,0.0,4.0
41,2625603,2023-06-14,Oklahoma,Tulsa,1.0,3.0
42,2625182,2023-06-13,Ohio,Cincinnati,0.0,4.0
43,2623809,2023-06-13,Colorado,Denver,0.0,9.0
44,2622044,2023-06-11,New York,Syracuse,0.0,4.0
45,2622008,2023-06-11,Texas,Houston,0.0,6.0
46,2622062,2023-06-11,California,Antioch,1.0,6.0
47,2668127,2023-06-11,Louisiana,Labadieville,0.0,7.0
48,2622547,2023-06-11,Maryland,Annapolis,3.0,3.0
49,2622140,2023-06-11,Illinois,Champaign,0.0,4.0
50,2622484,2023-06-11,Texas,Crosby,1.0,4.0
51,2621754,2023-06-10,Mississippi,Hattiesburg,0.0,4.0
52,2621640,2023-06-10,Illinois,Oak Park,0.0,4.0
53,2622344,2023-06-10,Washington,Benton City,1.0,5.0
54,2621241,2023-06-09,California,San Francisco,0.0,9.0
55,2621359,2023-06-09,Pennsylvania,Jeannette,1.0,4.0
56,2620695,2023-06-08,South Carolina,North Charleston,1.0,3.0
57,2619908,2023-06-07,California,Sacramento,0.0,7.0
58,2618358,2023-06-06,Virginia,Richmond,2.0,5.0
59,2617560,2023-06-05,Mississippi,Jackson,0.0,5.0
60,2616439,2023-06-04,Texas,Sunnyvale,1.0,4.0
61,2615978,2023-06-04,Illinois,Chicago,1.0,6.0
62,2616034,2023-06-04,Florida,Pensacola,1.0,4.0
63,2616015,2023-06-04,Missouri,Columbia,2.0,4.0
64,2615941,2023-06-03,Oregon,Portland,0.0,4.0
65,2615518,2023-06-02,Tennessee,Memphis,0.0,4.0
66,2614735,2023-06-02,Texas,San Antonio,1.0,3.0
67,2614353,2023-05-31,Ohio,Cleveland,1.0,3.0
