,Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
0,Militan Snack,Kab. Sidoarjo,Seblak Coet Instan Seblak Coet Rafael Viral Seblak Cobek Sambal Bawang,13000.0,Terjual 22,None
1,tsr1997,Depok,seblak instan,4555.0,Terjual 1 rb+,4.9
2,Rasa Juara Indonesia,Bandung,SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,22000.0,Terjual 750+,4.9
3,Lidigeli,Kab. Garut,MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,15000.0,Terjual 70+,5.0
4,Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih mentah 500gram / kerupuk ikan mentah /seblak viral,12000.0,Terjual 60+,5.0
5,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
6,vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,Terjual 250+,5.0
7,Bumbukeluargakita,Jakarta Barat,Kerupuk Seblak Viral / Kerupuk Mawar Putih Viral Mentah 250gram,8000.0,Terjual 12,5.0
8,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (AJAHH),26500.0,Terjual 1 rb+,4.9
9,Alanza Frozen Food,Tangerang Selatan,Kerupuk Mawar Bahan Seblak Babangi 250 Gram,7000.0,Terjual 17,5.0
10,aurel prima snack,Jakarta Barat,KERUPUK SEBLAK KENCUR BERAT 250 gram,11500.0,Terjual 100+,4.9
11,BociKakang,Jakarta Selatan,KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,23500.0,Terjual 100+,5.0
12,Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,Terjual 100+,5.0
13,NomeL Shop,Surabaya,BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,4990.0,Terjual 1 rb+,4.7
14,GK_Snack,Kab. Bandung,KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,6000.0,Terjual 500+,5.0
15,Rav Jaya Display,Kab. Tangerang,SEBLAK INSTAN MOMMY,13500.0,Terjual 1 rb+,4.8
16,Kyta Bae,Kab. Sumedang,TERMURAH KERUPUK KRUPUK KERITING MAWAR PUTIH MENTAH SEBLAK RAFAEL,5850.0,Terjual 30+,None
17,TOKO SNACK JAKARTA HENDI,Jakarta Selatan,KERUPUK / KRUPUK SEBLAK RAFAEL RENYAH / GURIH / CRISPY / KRISPY  - 1 KG,6000.0,None,None
18,toko bemo,Jakarta Timur,Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15500.0,Terjual 250+,4.9
19,Djuragan Kerupuk,Surabaya,Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,6000.0,Terjual 40+,5.0
20,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
21,RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,Terjual 70+,4.8
22,jajanangarut19,Jakarta Selatan,KERUPUK SEBLAK MENTAH ANEKA WARNA,11500.0,Terjual 100+,4.9
23,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
24,babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,Terjual 100+,4.9
25,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI ( BOHAYY),34000.0,Terjual 750+,4.8
26,TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,Terjual 28,5.0
27,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
28,ajs(ale jaya snack),Jakarta Utara,KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,13000.0,Terjual 80+,4.9
29,BociKakang,Jakarta Selatan,KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,4500.0,Terjual 250+,4.8
30,Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK SEBRING PEDAS TERLARIS PER 500 GRAM,42275.0,Terjual 60+,4.9
31,Kylafood Jakarta,Jakarta Selatan,Kylafood Seblak Rempah Autentik,9500.0,Terjual 2,5.0
32,Rak Sebelah,Jakarta Pusat,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300.0,Terjual 100+,4.9
33,Juragan Kerupuk SBY,Surabaya,SEBLAK VIRAL!! Kerupuk seblak mawar mentah AMBARUKMA 400gram,19000.0,Terjual 3,5.0
34,Djuragan Kerupuk,Surabaya,Kerupuk Mawar Tipis Merk Singa Kerupuk Seblak Kerupuk Mentah,29000.0,None,None
35,Rak Sebelah,Jakarta Pusat,Seblak Basranger Extra Pedas 200gr,17300.0,Terjual 250+,4.9
36,ajs(ale jaya snack),Jakarta Utara,KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,21000.0,Terjual 12,5.0
37,toko bemo,Jakarta Timur,Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15500.0,Terjual 250+,4.9
38,Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih mentah 500gram / kerupuk ikan mentah /seblak viral,12000.0,Terjual 60+,5.0
39,Makanan Tradisi Id,Jakarta Pusat,Kerupuk Seblak Mentah/ Krupuk Seblak Viral/ Kerupuk Mawar 5kg,112000.0,Terjual 11,5.0
40,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (AJAHH),26500.0,Terjual 1 rb+,4.9
41,Rak Sebelah,Jakarta Pusat,Seblak Basranger Extra Pedas 200gr,17300.0,Terjual 250+,4.9
42,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (SEXXY),40000.0,Terjual 250+,4.9
43,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (UNYUU),26500.0,Terjual 250+,4.8
44,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI ( BOHAYY),34000.0,Terjual 750+,4.8
45,Rak Sebelah,Jakarta Pusat,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300.0,Terjual 100+,4.9
46,Rak Sebelah,Jakarta Pusat,Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,51900.0,Terjual 40+,4.8
47,Dilla frozen,Jakarta Pusat,seblak instan ksn,12000.0,Terjual 3,5.0
48,Snackzone PP,Jakarta Pusat,Baso urat djuara sami raos/Baso Aci Urat /Seblak,25000.0,Terjual 7,5.0
49,Rak Sebelah,Jakarta Pusat,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300.0,Terjual 100+,4.9
50,RIKI STORE 97,Kab. Bogor,kerupuk seblak pedas daun jeruk,4500.0,Terjual 100+,4.7
51,Toko kue Sumber Mas,Jakarta Timur,KERUPUK JABLAY BANTET SEBLAK PELANGI,15999.0,Terjual 500+,4.9
52,Bumbukeluargakita,Jakarta Barat,Kerupuk Seblak viral /Kerupuk Mawar Mentah 500gram,15000.0,Terjual 8,4.0
53,global cookware1,Jakarta Barat,11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,42000.0,Terjual 16,5.0
54,cemilanceuromlah,Bandung,kerupuk seblak cocol mentah viral mawar 100gram,5000.0,Terjual 100+,4.9
55,Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK JABLAY PELANGI PEDAS TERLARIS PER 250GRAM,12740.0,Terjual 500+,4.9
56,SeblakYoi,Bekasi,Seblak instan yoi enak dan kenyang,7500.0,Terjual 250+,4.9
57,snack_it,Tangerang Selatan,seblak ceker pedas,8950.0,Terjual 250+,4.9
58,home_nature,Kab. Tangerang,Kerupuk seblak orens / kerupuk sari laut orange mentah,12200.0,Terjual 50+,4.9
59,Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,Terjual 40+,4.9
60,oke snack,Jakarta Selatan,seblak kencur / okesnack,10000.0,Terjual 750+,4.9
61,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (SEXXY),40000.0,Terjual 250+,4.9
62,DEVAN MUKENAH DEWASA,Jakarta Selatan,Seblak Instan 250gr Bumbu Komplit JSR Snack,11900.0,Terjual 100+,4.9
63,Sahabatdapur1,Tangerang,Kerupuk Orange / Kerupuk Seblak 250gr / Kerupuk Mentah - Sahabatdapur,7500.0,Terjual 16,5.0
64,Iguazabest777,Kab. Tangerang,KERUPUK SEBLAK SAMBAL KRUPUK KERITING KECIL Mentah Krupuk,7900.0,Terjual 30+,5.0
65,Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,Terjual 100+,5.0
66,Nyemil Saji Jaktim,Jakarta Timur,SEBLAK INSTAN SIAP SAJI TERENAK TERMURAH by nyemil.saji,15999.0,Terjual 100+,4.7
67,Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,Terjual 2 rb+,4.9
68,arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,Terjual 30+,5.0
69,Alanza Frozen Food,Tangerang Selatan,Kerupuk Mawar Bahan Seblak Babangi 1 Kg,24000.0,Terjual 10,5.0
70,global cookware1,Jakarta Barat,SEBLAK INSTAN MAMANG TERMURAH,4200.0,Terjual 80+,5.0
71,KRIUK JAYA,Jakarta Barat,Kerupuk SEBLAK KERITING PEDAS,20000.0,Terjual 100+,4.9
72,kylafood,Bandung,Kylafood Seblak Rempah Autentik isi (5pcs),44550.0,Terjual 100+,4.5
