Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
Militan Snack,Kab. Sidoarjo,Seblak Coet Instan Seblak Coet Rafael Viral Seblak Cobek Sambal Bawang,13000.0,22.0,0.0
tsr1997,Depok,seblak instan,4555.0,1000.0,4.9
Rasa Juara Indonesia,Bandung,SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,22000.0,750.0,4.9
Lidigeli,Kab. Garut,MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,15000.0,70.0,5.0
Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih mentah 500gram / kerupuk ikan mentah /seblak viral,12000.0,60.0,5.0
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,250.0,5.0
Bumbukeluargakita,Jakarta Barat,Kerupuk Seblak Viral / Kerupuk Mawar Putih Viral Mentah 250gram,8000.0,12.0,5.0
Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (AJAHH),26500.0,1000.0,4.9
Alanza Frozen Food,Tangerang Selatan,Kerupuk Mawar Bahan Seblak Babangi 250 Gram,7000.0,17.0,5.0
aurel prima snack,Jakarta Barat,KERUPUK SEBLAK KENCUR BERAT 250 gram,11500.0,100.0,4.9
BociKakang,Jakarta Selatan,KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,23500.0,100.0,5.0
Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,100.0,5.0
NomeL Shop,Surabaya,BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,4990.0,1000.0,4.7
GK_Snack,Kab. Bandung,KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,6000.0,500.0,5.0
Rav Jaya Display,Kab. Tangerang,SEBLAK INSTAN MOMMY,13500.0,1000.0,4.8
Kyta Bae,Kab. Sumedang,TERMURAH KERUPUK KRUPUK KERITING MAWAR PUTIH MENTAH SEBLAK RAFAEL,5850.0,30.0,0.0
TOKO SNACK JAKARTA HENDI,Jakarta Selatan,KERUPUK / KRUPUK SEBLAK RAFAEL RENYAH / GURIH / CRISPY / KRISPY  - 1 KG,6000.0,0.0,0.0
toko bemo,Jakarta Timur,Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15500.0,250.0,4.9
Djuragan Kerupuk,Surabaya,Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,6000.0,40.0,5.0
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,70.0,4.8
jajanangarut19,Jakarta Selatan,KERUPUK SEBLAK MENTAH ANEKA WARNA,11500.0,100.0,4.9
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,100.0,4.9
Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI ( BOHAYY),34000.0,750.0,4.8
TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,28.0,5.0
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
ajs(ale jaya snack),Jakarta Utara,KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,13000.0,80.0,4.9
